date,fremont_bridge,temperature_2m,precipitation,wind_speed_10m
2015-11-19,2937.0,5.729166666666667,3.9,10.325000000000001
2015-11-20,2520.0,3.625,0.0,8.133333333333333
2015-11-21,1119.0,2.5291666666666663,0.0,8.754166666666666
2015-11-22,958.0,3.0875,0.0,7.0625
2015-11-23,2278.0,3.045833333333333,0.0,8.008333333333333
2015-11-24,1952.0,4.9750000000000005,3.1,11.9
2015-11-25,2016.0,2.9125,0.0,15.179166666666667
2015-11-26,532.0,1.8166666666666667,0.0,8.1875
2015-11-27,882.0,1.6166666666666665,0.0,7.820833333333333
2015-11-28,798.0,1.1416666666666666,0.0,6.608333333333333
2015-11-29,605.0,0.6416666666666666,0.0,7.079166666666667
2015-11-30,2329.0,0.8416666666666667,0.0,9.408333333333333
2015-12-01,2598.0,4.7875000000000005,0.2,12.958333333333334
2015-12-02,2515.0,5.158333333333333,8.4,15.866666666666667
2015-12-03,1884.0,7.154166666666666,14.4,23.5125
2015-12-04,2268.0,7.595833333333334,5.0,15.733333333333334
2015-12-05,408.0,6.108333333333333,9.6,17.591666666666665
2015-12-06,480.0,7.366666666666667,18.4,22.320833333333336
2015-12-07,2041.0,8.4375,19.8,20.383333333333333
2015-12-08,1756.0,10.320833333333333,24.5,21.995833333333334
2015-12-09,2220.0,9.670833333333333,33.6,21.208333333333332
2015-12-10,1841.0,7.0375000000000005,10.5,21.8625
2015-12-11,2057.0,5.858333333333333,0.1,12.549999999999999
2015-12-12,447.0,4.916666666666667,9.6,13.370833333333332
2015-12-13,490.0,6.504166666666666,5.8,29.791666666666668
2015-12-14,2521.0,4.220833333333333,4.1,7.2625
2015-12-15,2430.0,3.8333333333333335,0.0,9.570833333333333
2015-12-16,2436.0,4.483333333333333,3.2,9.754166666666666
2015-12-17,1658.0,2.9416666666666664,6.2,11.741666666666667
2015-12-18,1708.0,4.695833333333334,25.599999999999998,19.491666666666667
2015-12-19,808.0,4.595833333333333,0.5,14.9375
2015-12-20,512.0,5.25,10.6,21.6375
2015-12-21,1275.0,4.183333333333334,15.1,16.429166666666667
2015-12-22,1635.0,3.4499999999999997,10.2,12.054166666666667
2015-12-23,1219.0,3.625,10.3,20.3875
2015-12-24,592.0,3.404166666666667,10.5,16.908333333333335
2015-12-25,264.0,2.1458333333333335,2.5,3.7458333333333336
2015-12-26,488.0,2.5083333333333333,0.0,9.616666666666667
2015-12-27,202.0,2.2041666666666666,7.4,13.270833333333334
2015-12-28,1206.0,2.5124999999999997,4.3,6.554166666666667
2015-12-29,1508.0,2.1666666666666665,0.0,3.8249999999999997
2015-12-30,1460.0,0.02499999999999995,0.0,6.608333333333333
2015-12-31,1065.0,-1.125,0.0,7.5125
2016-01-01,562.0,-0.9708333333333333,0.0,7.8374999999999995
2016-01-02,733.0,-0.875,0.0,8.6625
2016-01-03,444.0,-1.2041666666666666,0.2,6.854166666666667
2016-01-04,1801.0,0.8041666666666667,5.2,6.545833333333333
2016-01-05,2078.0,2.3458333333333337,3.4,6.891666666666667
2016-01-06,2684.0,2.9625,0.0,9.216666666666667
2016-01-07,2582.0,2.091666666666667,0.0,5.3625
2016-01-08,2384.0,3.3166666666666664,0.0,5.316666666666666
2016-01-09,960.0,2.466666666666667,0.0,6.391666666666667
2016-01-10,993.0,2.75,0.0,7.6375
2016-01-11,2154.0,1.3375000000000001,2.0,12.491666666666667
2016-01-12,1978.0,4.458333333333333,8.1,15.508333333333333
2016-01-13,1806.0,6.358333333333333,14.200000000000001,14.795833333333334
2016-01-14,2623.0,4.429166666666666,2.1,9.245833333333334
2016-01-15,1912.0,2.829166666666667,1.9,8.720833333333333
2016-01-16,574.0,5.666666666666667,10.9,16.420833333333334
2016-01-17,402.0,6.941666666666666,6.4,19.704166666666666
2016-01-18,1708.0,7.0249999999999995,1.1,14.320833333333333
2016-01-19,2359.0,5.3500000000000005,2.1,10.583333333333334
2016-01-20,2588.0,5.433333333333334,9.1,9.545833333333333
2016-01-21,1368.0,6.633333333333333,23.6,14.204166666666666
2016-01-22,2160.0,8.012500000000001,16.3,18.308333333333334
2016-01-23,418.0,5.404166666666666,4.9,6.404166666666668
2016-01-24,1052.0,5.375,3.4,8.941666666666666
2016-01-25,2968.0,4.791666666666667,0.0,7.4375
2016-01-26,2168.0,7.683333333333334,4.9,12.795833333333334
2016-01-27,2350.0,9.924999999999999,2.4,13.1
2016-01-28,2093.0,10.125,30.900000000000002,16.75
2016-01-29,1989.0,6.4125000000000005,5.9,12.6875
2016-01-30,1027.0,4.9875,5.3,14.345833333333333
2016-01-31,815.0,4.266666666666667,0.5,15.9
2016-02-01,2727.0,3.908333333333333,1.9,8.137500000000001
2016-02-02,3134.0,3.5875,0.5,6.829166666666667
2016-02-03,2287.0,4.7625,1.9999999999999998,10.541666666666666
2016-02-04,2321.0,5.858333333333333,11.3,16.925
2016-02-05,2101.0,6.8374999999999995,0.30000000000000004,14.1
2016-02-06,884.0,7.0,7.6000000000000005,17.120833333333334
2016-02-07,1010.0,4.866666666666666,0.0,5.633333333333333
2016-02-08,3160.0,5.783333333333334,0.0,6.5625
2016-02-09,3455.0,7.7,0.0,8.695833333333333
2016-02-10,2495.0,8.608333333333333,1.9000000000000001,11.133333333333333
2016-02-11,2253.0,8.3375,0.9,6.808333333333334
2016-02-12,1920.0,9.5,22.2,15.720833333333333
2016-02-13,673.0,7.8125,5.4,18.616666666666667
2016-02-14,606.0,7.929166666666667,17.0,17.995833333333334
2016-02-15,977.0,9.549999999999999,27.0,18.95
2016-02-16,2469.0,9.070833333333333,8.200000000000001,14.070833333333333
2016-02-17,2442.0,9.633333333333335,0.0,6.858333333333333
2016-02-18,2333.0,8.270833333333334,6.2,15.341666666666667
2016-02-19,1567.0,6.891666666666667,8.700000000000001,17.900000000000002
2016-02-20,1692.0,6.0125,0.9,17.754166666666666
2016-02-21,671.0,3.8541666666666665,2.4,9.983333333333333
2016-02-22,2769.0,5.504166666666666,4.1,8.891666666666667
2016-02-23,3286.0,4.504166666666666,0.1,6.666666666666667
2016-02-24,2982.0,7.2749999999999995,0.0,7.358333333333333
2016-02-25,3322.0,7.991666666666667,0.0,4.666666666666667
2016-02-26,2395.0,8.304166666666667,0.0,8.620833333333334
2016-02-27,1257.0,8.895833333333334,6.9,5.679166666666667
2016-02-28,664.0,7.970833333333334,4.9,16.3625
2016-02-29,2529.0,6.641666666666667,8.9,14.716666666666667
2016-03-01,1859.0,7.3500000000000005,19.400000000000002,14.6875
2016-03-02,2532.0,7.979166666666667,8.7,22.71666666666667
2016-03-03,2495.0,9.291666666666666,6.6000000000000005,18.783333333333335
2016-03-04,2255.0,8.887500000000001,0.0,13.154166666666667
2016-03-05,1700.0,9.504166666666666,4.1000000000000005,12.208333333333334
2016-03-06,682.0,9.754166666666666,11.6,17.933333333333334
2016-03-07,2022.0,6.7,9.6,10.975
2016-03-08,2901.0,6.2625,1.9000000000000001,12.9375
2016-03-09,2024.0,6.8,5.2,10.758333333333333
2016-03-10,2042.0,8.325000000000001,30.4,31.358333333333334
2016-03-11,2226.0,7.0125,1.1,10.220833333333333
2016-03-12,696.0,7.520833333333333,10.1,17.316666666666666
2016-03-13,336.5,5.675,11.200000000000001,20.183333333333334
2016-03-14,2147.0,5.591666666666666,2.8,22.3875
2016-03-15,2539.0,5.470833333333334,5.2,14.799999999999999
2016-03-16,3114.0,5.3999999999999995,2.4,6.675
2016-03-17,3248.0,5.6499999999999995,0.0,8.5625
2016-03-18,2811.0,7.295833333333333,0.0,10.354166666666666
2016-03-19,1494.0,9.033333333333333,0.0,9.35
